year	schoolLevel	evasion
1	1	-119347
1	2	7597
1	3	29236
1	4	5979
1	5	-61310
1	6	45695
1	7	55305
1	8	47525
1	9	-36961
1	10	123696
1	11	52490
2	1	-56645
2	2	-4645
2	3	13766
2	4	2702
2	5	-66333
2	6	35470
2	7	49227
2	8	50092
2	9	-27191
2	10	122621
2	11	54070
3	1	-54606
3	2	10909
3	3	3567
3	4	6622
3	5	-59143
3	6	36457
3	7	50709
3	8	51945
3	9	-17951
3	10	122112
3	11	54441
4	1	-46263
4	2	6572
4	3	15060
4	4	-3604
4	5	-45072
4	6	25022
4	7	50666
4	8	53264
4	9	-15754
4	10	121365
4	11	56954
5	1	-35597
5	2	-2592
5	3	15664
5	4	510
5	5	-45531
5	6	25091
5	7	56552
5	8	30269
5	9	-22019
5	10	115175
5	11	54600
6	1	-17390
6	2	-21679
6	3	17797
6	4	3244
6	5	-44421
6	6	21670
6	7	40646
6	8	42950
6	9	-11727
6	10	107709
6	11	54963
7	1	-14401
7	2	-30719
7	3	20936
7	4	1032
7	5	-39659
7	6	22903
7	7	37674
7	8	31632
7	9	-15704
7	10	112623
7	11	52642