Year	ID BRA	ID	Major	Enroled	NumStudents
2010	3	380D01	Law	88778	113858
2010	3	345A01	Business and Management	63593	87572
2010	3	142P01	Pedagogy	28101	34895
2010	3	344C02	Accounting	24826	31541
2010	3	7.23E+03	Nursing	23641	29039
2010	3	146F15	PE Degree	12386	16398
2010	3	727F01	Pharmacy	10743	13316
2010	3	311P02	Psychology	10030	12965
2010	3	483S02	Information Systems	9848	15234
2010	3	5.82E+05	Civil Engineering	9481	11971
2010	3	145F01	Biology Degree	9405	12666
2010	3	621A04	Agronomy	8917	10792
2010	3	726F01	Physioterapy	7949	10631
2010	3	345G09	Human Resources	6736	8260
2010	3	581A05	Architecture	6537	8515