Ano	Valor_Exportacao	KGExportação	CrescimentoExportação	IdSecaoProduto	NomeSecaoProduto
2014	3553553420800	2147483647	-159869	2	Produtos de Origem Vegetal
2014	158445637200	1751943692	-141251	3	Derivados Vegetais e Animais
2014	2601293856200	2147483647	-140843	4	Gêneros Alimentícios
2014	4983609243800	2147483647	-720499	5	Produtos Minerais
2014	1150263167900	2147483647	310162	6	Produtos Químicos
2014	553096167000	1947442365	-131742	7	Plásticos e Borracha
2014	304985030100	502424645	169777	8	Peles e Couros de Animais
2014	224547959100	2147483647	119147	9	Produtos de Madeira
2014	731422497000	2147483647	835377	10	Artigos de Papel
2014	253658895300	965371552	713888	11	Artigos Têxteis
2014	124405902600	61047980	-195277	12	Calçados, Chapéus e Semelhantes
2014	194012868300	2147483647	967227	13	Artigos de Pedra e Outros Materiais
2014	281662130200	23353780	-121641	14	Metais Preciosos
2014	1612855633900	2147483647	893767	15	Metais
2014	1694391678500	1501210542	-393594	16	Máquinas
2014	1613911328800	1347463150	-39267	17	Transportes
2014	92441705800	14339544	13794	18	Instrumentos
2014	31651668500	8218718	-110623	19	Armas e Munições
2014	109427136100	324275703	119021	20	Artigos Diversos
2014	8177061000	63442	-3297	21	Artes e Antiguidades